"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8611111111111","",
"Afganistán","AFG","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.8","","","","","","111.3","","","","","","","",
"","AFW","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5176470588235","",
"Angola","AGO","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2","","","","7.7","","","","","","","","","","","",
"Albania","ALB","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5","","41.7","","","","","","10.2","","","","","","18.6","","",
"Andorra","AND","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.7444444444445","",
"Emiratos Árabes Unidos","ARE","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.2","","","","54.2","","","","","","","53.5","","","","",
"Armenia","ARM","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","","","2.5","","","","16.3","","","","5.9","","","","","","","6.5","",
"Samoa Americana","ASM","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7","","","","","","","","","","","",
"Australia","AUS","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaiyán","AZE","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.3","","","2","","","","9.7","","","","3.6","","","","","","4.6","","",
"Burundi","BDI","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1","","","","","","","","25.3","","","","","","","",
"Bélgica","BEL","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.6","",
"Benin","BEN","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.6","","","","","","","193.2","","","","","",
"Burkina Faso","BFA","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6","","","23.1","","","","","","","","","","","","",
"Bangladesh","BGD","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.3","","","","","","84.7","","","","","","","","",
"Bulgaria","BGR","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8","22.1","","85.6","","44.7","","","","49.5","","","","","","24.8","","",
"Bahrein","BHR","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas","BHS","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7","","","","","","","","","","","",
"Bosnia y Herzegovina","BIH","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","","","6.8","","","","50.2","","","","46.8","","","","","","73.6","","",
"Belarús","BLR","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5","","","15.3","","","15.2","","","","","21.2","","","","","21.4","","","",
"Belice","BLZ","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","","","","","","","","","","","",
"Bermudas","BMU","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.2","","","","21.2","","","","","","","30","","","","",
"Brasil","BRA","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.7","","","","","","","","","","","","",
"Barbados","BRB","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.7","","","","","","","","","","","",
"Brunei Darussalam","BRN","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhután","BTN","Demora en obtener una conexión eléctrica (días)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7","","","","","","21.3","","","","","","",
